"type","category","paid"
"Photo",2,0
"Status",2,0
"Photo",3,0
"Photo",2,1
"Photo",2,0
"Status",2,0
"Photo",3,1
"Photo",3,1
"Status",2,0
"Photo",3,0
"Status",2,0
"Photo",2,0
"Photo",2,0
"Photo",2,0
"Photo",2,1
"Status",2,0
"Photo",3,0
"Photo",1,1
"Status",3,0
"Photo",3,0
"Photo",2,0
"Photo",1,0
"Link",1,0
"Photo",3,0
"Status",2,0
"Status",2,0
"Status",2,0
"Photo",3,0
"Photo",2,0
"Video",1,1
"Photo",2,0
"Photo",2,0
"Photo",3,0
"Photo",3,0
"Photo",1,0
"Photo",2,0
"Photo",3,0
"Photo",1,1
"Status",2,0
"Photo",1,0
"Status",2,0
"Link",1,1
"Photo",1,0
"Link",1,1
"Photo",1,0
"Link",1,1
"Status",1,0
"Link",1,0
"Photo",1,0
"Link",1,0
"Photo",2,0
"Photo",1,1
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Video",1,1
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,1
"Photo",1,1
"Photo",1,1
"Photo",1,1
"Photo",1,1
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,1
"Photo",1,0
"Photo",1,0
"Photo",1,1
"Video",1,1
"Status",3,0
"Photo",1,1
"Video",1,0
"Photo",1,1
"Photo",1,0
"Photo",1,0
"Photo",2,0
"Photo",1,0
"Status",2,0
"Photo",3,0
"Photo",1,0
"Photo",3,1
"Status",3,0
"Photo",1,1
"Link",1,0
"Photo",3,0
"Photo",1,0
"Photo",1,1
"Photo",1,0
"Photo",2,0
"Photo",3,0
"Photo",3,0
"Photo",2,0
"Photo",3,0
"Photo",1,0
"Photo",2,0
"Status",2,1
"Photo",1,0
"Photo",1,1
"Photo",2,0
"Photo",3,0
"Photo",1,0
"Photo",1,1
"Photo",1,0
"Photo",3,0
"Status",2,0
"Photo",3,0
"Status",2,0
"Photo",1,0
"Photo",2,0
"Photo",2,1
"Photo",1,0
"Photo",1,1
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Status",2,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",3,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Link",1,0
"Photo",1,0
"Status",2,0
"Photo",1,1
"Link",1,0
"Status",3,0
"Status",2,1
"Photo",3,1
"Photo",1,1
"Photo",1,1
"Photo",3,0
"Photo",3,0
"Status",2,0
"Link",1,1
"Photo",1,0
"Photo",2,0
"Photo",2,1
"Photo",1,0
"Photo",2,0
"Photo",2,0
"Photo",2,0
"Photo",3,0
"Photo",2,0
"Photo",2,1
"Photo",3,0
"Photo",2,0
"Photo",3,0
"Status",2,0
"Photo",2,1
"Photo",1,1
"Photo",3,1
"Photo",1,0
"Photo",2,1
"Photo",3,0
"Photo",1,0
"Status",2,0
"Photo",1,0
"Photo",2,0
"Status",2,1
"Photo",3,1
"Photo",1,0
"Photo",2,0
"Photo",2,0
"Status",2,1
"Photo",1,0
"Photo",3,1
"Video",1,0
"Photo",2,0
"Photo",1,0
"Photo",2,0
"Photo",2,0
"Photo",3,1
"Photo",2,0
"Photo",3,1
"Photo",3,0
"Photo",2,0
"Photo",2,1
"Photo",1,0
"Photo",2,0
"Photo",1,0
"Photo",2,0
"Photo",1,1
"Photo",3,0
"Photo",2,1
"Photo",1,0
"Status",2,1
"Photo",3,0
"Photo",3,0
"Photo",1,1
"Photo",1,0
"Photo",2,0
"Photo",3,0
"Photo",2,1
"Photo",3,1
"Photo",3,0
"Photo",2,0
"Photo",3,1
"Photo",3,1
"Photo",1,0
"Photo",2,0
"Status",2,0
"Photo",1,0
"Photo",3,0
"Photo",2,0
"Photo",3,0
"Status",2,0
"Status",2,1
"Photo",1,0
"Status",2,0
"Photo",3,1
"Photo",1,1
"Photo",2,0
"Photo",2,0
"Photo",3,0
"Photo",3,0
"Status",2,1
"Photo",1,0
"Photo",2,0
"Status",2,0
"Photo",3,0
"Photo",2,0
"Photo",1,0
"Photo",2,1
"Photo",3,0
"Photo",1,0
"Status",2,0
"Video",1,1
"Photo",2,1
"Photo",1,0
"Photo",2,0
"Photo",2,0
"Photo",3,0
"Photo",2,1
"Photo",1,1
"Photo",1,0
"Photo",3,0
"Status",2,1
"Photo",3,0
"Photo",2,1
"Photo",1,1
"Photo",1,1
"Photo",2,0
"Photo",3,0
"Photo",2,1
"Photo",1,0
"Photo",2,0
"Photo",2,1
"Photo",3,0
"Photo",3,1
"Photo",1,0
"Status",2,0
"Photo",1,0
"Photo",1,1
"Photo",2,1
"Photo",1,1
"Photo",1,1
"Photo",3,0
"Photo",2,0
"Status",2,0
"Photo",3,1
"Video",1,0
"Photo",1,1
"Photo",1,0
"Photo",2,0
"Photo",2,0
"Status",2,0
"Photo",1,1
"Photo",1,0
"Status",2,0
"Photo",1,1
"Photo",1,1
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",2,0
"Photo",1,0
"Photo",2,0
"Photo",1,0
"Photo",1,0
"Photo",3,0
"Photo",3,0
"Photo",2,0
"Photo",1,0
"Photo",2,0
"Photo",3,1
"Photo",1,1
"Photo",3,1
"Photo",1,0
"Photo",3,0
"Photo",2,0
"Photo",3,1
"Photo",3,0
"Photo",3,0
"Photo",1,0
"Photo",3,0
"Photo",3,0
"Photo",3,1
"Photo",1,1
"Photo",3,0
"Photo",3,0
"Photo",2,0
"Photo",3,0
"Photo",2,1
"Photo",1,0
"Photo",3,0
"Photo",3,1
"Photo",3,0
"Photo",3,1
"Photo",3,0
"Photo",2,0
"Photo",3,1
"Photo",3,0
"Photo",3,1
"Photo",3,0
"Photo",3,0
"Photo",3,0
"Photo",3,0
"Status",2,0
"Photo",2,0
"Photo",3,0
"Photo",3,0
"Photo",3,1
"Photo",1,0
"Photo",3,0
"Photo",3,0
"Photo",2,0
"Photo",3,1
"Link",1,0
"Photo",3,1
"Photo",3,0
"Photo",3,0
"Photo",3,1
"Photo",3,0
"Photo",2,0
"Photo",3,1
"Status",1,1
"Photo",3,0
"Photo",2,0
"Photo",1,0
"Photo",3,0
"Photo",2,0
"Photo",2,0
"Photo",3,0
"Photo",1,0
"Photo",3,0
"Status",2,0
"Photo",3,1
"Photo",1,0
"Photo",3,0
"Photo",3,0
"Photo",3,1
"Photo",1,0
"Photo",2,1
"Photo",1,0
"Status",2,1
"Link",1,1
"Photo",1,0
"Photo",1,1
"Photo",3,1
"Photo",3,0
"Photo",3,1
"Photo",1,1
"Photo",3,1
"Photo",1,0
"Photo",3,0
"Photo",1,0
"Photo",3,0
"Photo",1,0
"Photo",3,1
"Photo",1,0
"Photo",1,1
"Photo",1,0
"Photo",1,0
"Photo",3,1
"Photo",2,1
"Photo",1,0
"Photo",3,0
"Photo",3,0
"Photo",1,0
"Photo",3,1
"Photo",1,0
"Photo",3,0
"Photo",3,0
"Photo",3,1
"Photo",1,1
"Photo",1,1
"Link",1,0
"Photo",3,0
"Photo",3,0
"Photo",3,0
"Photo",3,1
"Link",1,0
"Photo",2,0
"Photo",2,0
"Photo",3,0
"Photo",1,1
"Photo",1,1
"Photo",1,1
"Photo",1,0
"Status",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Link",3,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Link",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",1,1
"Photo",1,0
"Link",2,0
"Photo",1,0
"Photo",1,0
"Photo",1,1
"Photo",3,0
"Photo",3,0
"Photo",2,0
"Photo",1,1
"Photo",1,1
"Photo",1,1
"Photo",1,1
"Photo",1,1
"Photo",1,0
"Photo",1,0
"Photo",1,0
"Photo",3,0
"Photo",3,0
"Photo",3,0
"Photo",1,1
"Photo",1,0
"Photo",3,0
"Photo",2,1
"Photo",3,0
"Photo",1,0
"Photo",3,1
"Photo",3,1
"Photo",1,0
"Photo",3,0
"Photo",2,1
"Photo",2,1
"Photo",1,0
"Photo",3,0
"Link",1,0
"Photo",3,0
"Photo",1,0
"Photo",3,1
"Photo",1,0
"Photo",3,1
"Photo",1,1
"Link",1,0
"Photo",3,0
"Photo",3,0
"Photo",2,0
"Link",1,1
"Photo",3,0
"Photo",2,0
"Photo",3,0
"Link",1,0
"Photo",3,0
"Photo",3,0
"Photo",3,0
"Photo",3,0
"Photo",3,0
"Photo",3,1
"Link",1,0
"Photo",3,0
"Photo",3,0
"Photo",3,0
"Photo",2,0
"Photo",1,0
"Photo",3,0
